Replid,ReplStatus,Angkatan,Departemen,Keterangan,Aktif
1,0,2006,SMA,ANGKATAN PERTAMA SMA SSB BIREUEN,1
2,0,2006,SD,ANGKATAN PERTAMA SD SSB BIREUEN,1
3,0,2006,SMP,ANGKATAN  PERTAMA SMP SSB BIREUEN,1
4,0,2007,SD,Angkatan II SD SSB Bireuen,1
5,0,2007,SMP,Angkatan II SMP SSB Bireuen,1
6,0,2007,SMA,Angkatan ke II SMA SSB Bireuen,1
7,0,2008,SD,Angkatan III SD SSB Bireuen,1
8,0,2008,SMP,Angkatan III SMP SSB Bireuen,1
9,0,2008,SMA,Angkatan ke III SMA SSB Bireuen,1
10,0,2009,SD,Angkatan IV SD SSB Bireuen,1
11,0,2010,SD,Angkatan V SD SSB Bireuen,1
12,0,2011,SD,Angkatan VI SD SSB Bireuen,1
13,0,2009,SMP,Angkatan IV SMP SSB Bireuen,1
14,0,2010,SMP,Angkatan V SMP SSB Bireuen,1
15,0,2011,SMP,Angkatan VI SMP SSB Bireuen,1
16,0,2009,SMA,Angkatan IV SMA SSB Bireuen,1
17,0,2010,SMA,Angkatan V SMA SSB Bireuen,1
18,0,2011,SMA,Angkatan VI SMA SSB Bireuen,1
19,0,2012,SD,Angkatan VII SD SSB Bireuen,1
20,0,2012,SMP,Angkatan VII SMP SSB Bireuen,1
21,0,2012,SMA,Angkatan VII SMA SSB Bireuen,1
22,0,2013,SD,Angkatan VIII SD SSB Bireuen,1
23,0,2013,SMP,Angkatan VIII SMP SSB Bireuen,1
24,0,2013,SMA,Angkatan VIII SMA SSB Bireuen,1
25,0,2014,SD,Angkatan IX SD SSB Bireuen 2014/2015,1
26,0,2014,SMP,Angkatan IX SMP SSB Bireuen,1
27,0,2014,SMA,Angkatan IX SMA SSB Bireuen,1
28,0,2015,SMP,Angkatan X SMP SSB Bireuen,1
29,0,2015,SD,Angkatan X SD SSB Bireuen 2015/2016,1
30,0,2015,SMA,Angkatan X SMA SSB Bireuen,1
31,0,2016,SD,Angkatan XI SD SSB Bireuen 2016/2017,1
32,0,2016,SMP,Angkatan XI SMP SSB Bireuen,1
33,0,2016,SMA,Angkatan XI SMA SSB Bireuen,1
34,0,2017,SD,Angkatan XII SD SSB Bireuen 2017/2018,1
35,0,2017,SMP,Angkatan XII SMP SSB Bireuen,1
36,0,2017,SMA,Angkatan XII SMA SSB Bireuen,1
37,0,2018,SD,Angkatan XIII SD SSB Bireuen 2018/2019,1
38,0,2018,SMP,Angkatan XIII SMP SSB Bireuen 2018/2019,1
39,0,2018,SMA,Angkatan XIII SMA SSB Bireuen 2018/2019,1
